Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Decision Tree,1.0,1.0,1.0,1.0,1.0
K-Nearest Neighbors,0.9515,0.933579335793358,0.7620481927710844,0.8391376451077943,0.9861017812256219
